CWarZim00086_Library1_Lane1       ILLUMINA  9   ILLUMINA  18
CWarZim00087_Library1_Lane1       ILLUMINA  9   ILLUMINA  18
CWarZim00088_Library1_Lane1       ILLUMINA  9   ILLUMINA  18
DPigNig00138_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
DPigNig00139_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
DPigNig00140_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
DPigNig00141_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
DPigNig00142_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
DPigNig00143_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
DPigNig00144_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
DPigNig00145_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
DPigNig00146_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
DPigNig00147_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
DPigNig00148_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
DPigNig00149_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
DPigNig00150_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
DWarIve00137_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
DWarxxx00116_Library1_Lane1       BGI       32  BGI       42
DWarxxx00117_Library1_Lane1       BGI       32  BGI       42
DWarxxx00118_Library1_Lane1       BGI       32  BGI       42
DWarxxx00119_Library1_Lane1       BGI       32  BGI       42
DWarxxx00120_Library1_Lane1       BGI       32  BGI       42
DWarxxx00121_Library1_Lane1       BGI       32  BGI       42
DWarxxx00122_Library1_Lane1       BGI       32  BGI       42
DWarxxx00123_Library1_Lane1       BGI       32  BGI       42
DWarxxx00124_Library1_Lane1       BGI       32  BGI       42
DWarxxx00125_Library1_Lane1       BGI       32  BGI       42
DWarxxx00126_Library1_Lane1       BGI       32  BGI       42
DWarxxx00127_Library1_Lane1       BGI       32  BGI       42
DWarxxx00128_Library1_Lane1       BGI       32  BGI       42
DWarxxx00129_Library1_Lane1       BGI       32  BGI       42
DWarxxx00130_Library1_Lane1       BGI       32  BGI       42
DWarxxx00131_Library1_Lane1       BGI       32  BGI       42
DWarxxx00132_Library1_Lane1       BGI       32  BGI       42
DWarxxx00133_Library1_Lane1       BGI       32  BGI       42
DWarxxx00134_Library1_Lane1       BGI       32  BGI       42
DWarxxx00135_Library1_Lane1       BGI       32  BGI       42
DWarxxx00136_Library1_Lane1       BGI       32  BGI       42
GForGui00161_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
GForUga00151_Library1_Lane1       BGI       32  BGI       42
GForUga00152_Library1_Lane1       BGI       32  BGI       42
GForUga00153_Library1_Lane1       BGI       32  BGI       42
GForUga00154_Library1_Lane1       BGI       32  BGI       42
GForUga00155_Library1_Lane1       BGI       32  BGI       42
GForUga00156_Library1_Lane1       BGI       32  BGI       42
GForUga00157_Library1_Lane1       BGI       32  BGI       42
GForUga00158_Library1_Lane1       ILLUMINA  11  ILLUMINA  15
GForUga00159_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
GForUga00160_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
RRivCam00167_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivCam00168_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivCam00179_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivCam00180_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivCam00181_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivCam00182_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivDrc00165_Library1_Lane1       BGI       32  BGI       42
RRivDrc00166_Library1_Lane1       BGI       32  BGI       42
RRivDrc00183_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivDrc00184_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivDrc00185_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivEqu00169_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivEqu00170_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivEqu00171_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivEqu00172_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivEqu00173_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivEqu00174_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivEqu00175_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivEqu00176_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivEqu00177_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivGab00178_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
RRivTog00186_Library1_Lane1       ILLUMINA  33  ILLUMINA  33
xxxxEth00162_Library1_Lane1       BGI       32  BGI       42
xxxxEth00163_Library1_Lane1       BGI       32  BGI       42
xxxxEth00164_Library1_Lane1       BGI       32  BGI       42




BBabxxx00187_Library1_ERR2984475  ILLUMINA  12  ILLUMINA  31
BBeaxxx00197_Library1_ERR3632917  illumina  9   ILLUMINA  18
BBeaxxx00197_Library1_ERR3632918  illumina  9   ILLUMINA  20
BBeaxxx00197_Library1_ERR3632919  illumina  9   ILLUMINA  18
BBeaxxx00198_Library1_ERR3632920  -         8   ILLUMINA  33
BBeaxxx00198_Library1_ERR3632921  -         8   ILLUMINA  33
BBeaxxx00199_Library1_ERR3632922  illumina  9   ILLUMINA  18
BBeaxxx00199_Library1_ERR3632923  illumina  9   ILLUMINA  20
BBeaxxx00199_Library1_ERR3632924  illumina  9   ILLUMINA  18
BPigZoo00207_Library1_ERR3632911  illumina  9   ILLUMINA  20
BPigZoo00207_Library1_ERR3632912  illumina  9   ILLUMINA  20
BPigZoo00207_Library1_ERR3632913  illumina  9   ILLUMINA  18
CWarxxx00200_Library1_ERR3632937  ILLUMINA  15  ILLUMINA  33
CWarxxx00200_Library1_ERR3632938  ILLUMINA  15  ILLUMINA  33
CWarxxx00200_Library1_ERR3632939  ILLUMINA  15  ILLUMINA  33
CWarxxx00200_Library1_ERR3632940  ILLUMINA  15  ILLUMINA  33
CWarxxx00200_Library1_ERR3632941  ILLUMINA  15  ILLUMINA  33
CWarxxx00200_Library1_ERR3632942  ILLUMINA  15  ILLUMINA  33
CWarxxx00200_Library1_ERR3632943  ILLUMINA  15  ILLUMINA  33
CWarxxx00201_Library1_ERR3632944  illumina  9   ILLUMINA  20
CWarxxx00201_Library1_ERR3632945  illumina  9   ILLUMINA  31
CWarxxx00201_Library1_ERR3632946  illumina  9   ILLUMINA  20
CWarxxx00206_Library1_ERR3632906  ILLUMINA  15  ILLUMINA  33
CWarxxx00206_Library1_ERR3632907  ILLUMINA  15  ILLUMINA  33
CWarxxx00206_Library1_ERR3632908  ILLUMINA  15  ILLUMINA  33
CWarxxx00206_Library1_ERR3632909  ILLUMINA  15  ILLUMINA  33
CWarxxx00206_Library1_ERR3632910  ILLUMINA  15  ILLUMINA  33
JWarxxx00203_Library1_ERR3632947  illumina  9   illumina  9
